reviewTitle,reviewDetails,reviewDate,reviewFor,reviewRating,reviewLocation
History buff,"If you like to look at ancient ruins and the civilizations of the past then this place in Rhodes is for you. To start with kids are free and it cost us €16 for two adults which is always a bonus, no gift shops either which avoids filling your house with junk! You have to go through every door to realise how big the place is and it's full of artifacts from all the ages. Favourites for me were the murals and the outdoor gardens, well worth a visit.",Date of experience: July 2019,Archaeological Museum of Rhodes (Hospital of the Knights),4,"Rhodes, Greece"
Grand Day Out,"We spent a fantastic day out on this trip paying €190 for the four of us. We were picked up from our hotel, which for a small company was a really nice touch. The boat sets off from Collona harbour and takes about 30 mins to reach the fishing area. Captain Mixhaillis was great at showing us how to bait and fish and was very patient with us when things were not going well! We fished for around two hours catching a variety of small fish and some larger puffer fish unwelcome visitors from the red Sea. We then took a trip closer to shore where we swam and waited while the captain prepared a fantastic fish barbecue and salad for us. This was a cracking day out and we couldn't have been better looked after!",Date of experience: July 2019,Captain Manolis Fishing Trips in Rhodes,4,"Rhodes, Greece"
Brilliant food,"A great meal tonight at a friendly local restaraunt. With two teenagers and a gluten free pensioner to feed in our midst there was still a fantastic range of food to suit all our tastes and a reasonable spread of prices across the board.

Excellent starter of chilli and garlic prawns with a really tasty side salad of sweet and sharp leaves with beetroot. Crunchy soda bread to dip and I was hooked. A pizza sized garlic bread light enough for a main course to follow on with.

My main of braised beef with mash, celeriac and pancetta was rich, thick and again really tasty, the two portions of sea bass were well balanced and the teenage staple of pizza went down really well.

The best thing about the whole meal was flavour, very dish had something going on and it was a delight to be eating for fun and flavour rather than just filling up! Great job Jam Jar!",Date of visit: February 2019,Jam Jar,4,"Bridge of Allan, United Kingdom"
A different day out,"With nothing on at the imax worth watching and a big fat no to any museums we voted for an hour of.....well we were not quite sure what.

Easy to find after a wee saunter from George square we had a wait upstairs in merchant square where we could have had our choice of foods then downstairs we went into Escape reality.

The very helpful Fran talked us through the process making sure we knew we were never really locked in but also keeping us mindful it was a race against the clock.

What followed ended up being 50 minutes of laughing, arguing, cheering and being frustrated as a family as we tried to solve a variety of puzzles to escape each room. It was a great chance for us all to talk and work together and way better than sitting in a cinema watching a screen. It was reminiscent for me of the adventure game or the crystal maze and I would happily go back and try some of the other games they have on offer. Perhaps a bit steep in price ( hence the 4 stars) for what it actually is but definitely something different. Good family entertainment.",Date of experience: February 2019,Escape Reality,4,"Glasgow, United Kingdom"
Hidden gem.,"Tucked away amongst the egg and chips and cheap beer bars is this delightful little Mallorcan restaraunt offering tapas and good value for money paella. What makes this place stand out though is the genuine pleasure the owner seems to get from serving his customers. We had a great conversation about the history of the place and his passion for good food and wine. I have to say the wine choice was outstanding and it made my meal.

Get down and try some tapas at lunch then head back for Paella at night with a few glasses of red, you won't regret it.

Salut S'Amfora",Date of visit: October 2018,S'Amfora Restaurant,4,"Majorca, Spain"
Return trips,"We had two meals out in the impressive Ticoli Terrace with the most eye catching feature being the large open grill. I must say I was highly impressed with the lovely steak that I was served and my son's grilled rabbit was outstanding. We followed up this meal with a visit later in the week to sample the pizza from the oven and this was great value for money.

There was good service from the waiters and the chefs and I felt that I could have easily sat and been entertained all night by the live musician who was on. This was a great family destination and a very well run business.",Date of visit: October 2018,Tivoli Terrace,4,"Majorca, Spain"
Great tapas.,"We sat down a bit wet and fed up with what had been an overcast and dull day and a bit of a long trek from our hotel. There was a fairly large range of tapas too choose from and from looking around us the portions were better than I have received in a lot of tapas restaraunts.

As a family of four we ordered drinks an five tapas from the menu, one on the recommendation of the waiter. I was pleased when they brought the tapas out as they were ready and that we were encouraged to stretch out our meal as long as we wanted.

This place is in a street covered with other places offering a taste of Spain but it stands out from the rest for its character service and authentic style. I loved my meal and would easily recommend it to others.",Date of visit: October 2018,Ca'n Punyetes,4,"Majorca, Spain"
Music and Food,This is a traditional Cuban food restaurant that gives good value for money and a real mix of tourists and Cuban people. Don't expect the fancy plates and pristine presentation. What you do get is excellent ( and I do mean excellent!!!) service from waiters who want to help and food that is honest. I had a great tasting Ropa Vieja along with a generous mojito. The entertainment of music and salsa was all we needed for a great night out. We stayed for hours after eating and the staff. We're happy to make sure we got a safe taxi back to our hotel. A great night out.,Date of visit: September 2018,La Mina,4,Cuba
On a walk route,"Like most Spanish squares this one too bustles with life, architecture and many restaraunts. Depending on where the sun is and how much shade you can get you will decide where to eat, drink or just sit and listen to the many musicians and bands that stroll around. It's perfect for any time of the day but it really comes to life at night where Cuban music and Salsa are the order of the day.

There are a number of routes that include Plaza Vieja but all are worth it.",Date of experience: July 2018,Old Square (Plaza Vieja),4,Cuba
Great rest on a tiring day,"We stopped by here to get out of the searing heat of Havana and were treated to some excellent service by the knowledgeable staff. Instead of allowing us to buy expensive drinks the waiter suggested a jug of home made lemonade which was cheaper for the four of us. It arrived promptly and was absolutely delicious. Based on this honesty we stayed for an outstanding afternoon meal where we were treated to some well cooked seafood and far too many side dishes to eat.

A stunning setting along the Malecon and drinking some Havana Club and watching the sun go down was a fantastic experience. Thanks to all the staff for the wonderful treatment.",Date of visit: July 2018,Sociedad Asturiana Castropol,4,Cuba
"Clean, tidy and plenty room.","We attend here for a week and were very happy with the room and the beds that we had. For a family of four there was a double bed and a double sofa bed it enough for our two kids 12 and 14.

The hotel is in easy reach of Spittlemarket U-Bahn, literally 100m away and is within 10 minutes of Unter Der Linden. Not far away is a small area of restaurants where there are enough options for everyone on the way to Alexanderplatz station.

The breakfast is quite a price and if you don't want to pay this there is a supermarket around the corner where pastries, and morning rolls can be bought at a fraction of the price.

There is an adequate gym and a sauna downstairs, there is also a kids area in the hotel where you can play Xbox games or go online. The free wifi in the room was also more than good enough for all of us.

The hotel was clean tidy and very well appointed throughout, we really enjoyed our stay here.",Date of stay: October 2017,Novotel Berlin Mitte,4,"Berlin, Germany"
Great plate of food,One of the few places where we were made to feel very welcome as a family in Berlin. The choice was obviously very German but the food that we all received was outstanding. All four of us enjoyed the food and the generous litres of Paulaner.,Date of visit: October 2017,Maximilians Berlin,4,"Berlin, Germany"
Best prices in Berlin,"This was an easy meal for the four of us and was the cheapest that we ate out over our weeks stay. Felt a bit sorry for the head waiter as he was rushing about like mad and was sure he'd get our order wrong but no!

Some great pizza and nicely cooked pasta, just a shame about the Carlsberg when you could have some great Berliner!",Date of visit: October 2017,Ristorante Piccolo Mondo,4,"Berlin, Germany"
"Great service, great food","What a fantastic find and a great place for homemade great tasting soups and stews. We thoroughly enjoyed the pumpkin soup and the chicken stew, just a shame some of the others weren't on that day. The owner was brilliant giving us extra bread and putting up with our very poor German. A place I would happily go back to again, if just for the comfortable seats and cushions. Berliners are missing out on this delight of a place.",Date of visit: October 2017,Karaca,4,"Berlin, Germany"
Dreadful service.,"This is such a shame as the terrible service really distracted us from really good food and great beer.

We were ignored for nearly ten minutes trying to get a table at night with no one even coming to say they were attempting to seat us. The uninterested and distracted waiter who served us eventually showed no sign of welcoming or helping us to choose from the menu and almost threw the food onto the table. He was visibly annoyed when we needed to order more drinks and clearly didn't even want to work.

The food was great with plenty of choice German dishes and the beer options while expensive were really good.

Shame really",Date of visit: October 2017,Brauhaus Georgbraeu,4,"Berlin, Germany"
Interesting for adults,"While the touristy checkpoint outside provides some good photo opportunities the museum itself was not really suited to our kids. There was far too much written and crammed into a massive space without any opportunity for interactive learning.

While I found it interesting having lived through the Cold War and the fall of the wall it didn't capture the kids. I'd give it a miss.",Date of experience: October 2017,Checkpoint Charlie,4,"Berlin, Germany"
History fiends only,"I really got a lot out of this place and was interested to read all about the transformation of the forerunner Gestapo site. The fact it is seated next to a remaining piece of the wall made it more interesting for me.

It didn't capture the kids imagination at all because like lots of the museums in Berlin there is little interaction with the exhibits and lots of reading.",Date of experience: October 2017,Topography of Terror,4,"Berlin, Germany"
Book and go,"If you like visiting tall buildings then this is the place for you. There are lots of options to do with dinner and drinks in the revolving restaurant but we just wanted to see the top.

A good tip is to plan your visit and book online or use the ticket machines where you can schedule your time to visit, that way you don't have to wait or hang around in Alexanderplatz.

The views from the top were great and you can actually get a picture of the complicated mixture of buildings in Berlin. The easy pictures on the viewing area actually gave us a couple more places to visit.

Top tip
Use the Berlin welcome card for a discount.",Date of experience: October 2017,Berliner Fernsehturm,4,"Berlin, Germany"
Outstanding,Literally the best choice of food in Berlin. Street food Thursday provides you with a massive variety of choices from around Germany and the world. Great atmosphere and a really friendly place. Take time out to pay it a visit even if it's not a Thursday.,Date of visit: October 2017,Markthalle Neun Berlin Kreuzberg,4,"Berlin, Germany"
Difficult but worthwhile,It's hard to try and rate a memorial as excellent because of what it is but this was a thought provoking and fascinating piece of history. It can quite chilling walking through the blocks and reflecting on why they there.,Date of experience: October 2017,The Holocaust Memorial - Memorial to the Murdered Jews of Europe,4,"Berlin, Germany"
Ancient History Tour,"We visited the amfiteatre first and bought a family ticket for all the ancient ruins in Tarragona. It was pretty cheap and allowed us access to all the sites. If you are into Greek and Roman ruins then these are for you, the kids were marginally interested but it's nice to see a city trying really hard to preserve and keep all of it's ancient monuments. It takes no longer than 20 mins to look around but you could sit for longer.",Date of experience: July 2017,Amfiteatre,4,"Tarragona, Spain"
Days journey,We visited here as part of the all day family ticket and spent about half an hour wandering around. There are some good views from the walls and enough to see to fill up a bit of time after lunch!,Date of experience: July 2017,Passeig Arqueològic,4,"Tarragona, Spain"
Port Aventuratastic,"We stayed in the Salauris Palace for two weeks in the height of tourist season. This is my review of the hotel and it's facilities.

Location. The hotel is placed in the ideal spot for visiting Port Aventura, it's a 10 minute walk to all three parks and is also only ten minutes from the Port Aventura rail stop. The town is a five minute walk and from there a choice of beaches can be accessed. There are plenty of shoos and supermarkets nearby but you may have to hunt for restaurants beyond the egg and chips!

Food. We opted for half board and were not disappointed. The choice and standard of food was excellent and there was not a night I was disappointed, particularly good seafood and plenty for the carnivores to love! There were times the restaurant was busy but usually 5 minutes was all we had to wait for a seat.

Facilities. The pool is one of the larger ones in Salou but was still very busy. The hotel ended up closing access to the pool before 9.00 am to avoid the towel brigade and this was a good touch. Thought the lifeguards on duty were excellent. The gym downstairs is a bit tired and not all the machines worked well could do with some work. The indoor pool, steam room, jacuzzi and sauna are very good but remember a cap for the indoor pool.

Entertainment. The entertainment team are the hardest working staff I have ever seen, on the go from early till late and if you've got small kids they'll be happy there all day. Some of the evening shows were really good. There were plenty pool tables (although at 2 euros a game it was a bit steep) and enough air hockey and an indoor gaming room to keep the kids happy.

Staff. Throughout my stay I was impressed with the staff and how helpful and pleasant they were, great at helping us plan our use of local transport and showing us where to go on our days out. Was also impressed with how well all the staff seem to work together across the hotel.

Rooms. We had a family room for four of us and it was more than big enough but a bit lacking in storage for clothes. The decor and furniture could do with some updating. Air conditioning was not the best and we found it really hot most nights.

I would recommend this hotel to others.",Date of stay: July 2017,H10 Salauris Palace,4,"Salou, Spain"
Super light show,This is a great end to a an evening meal at least as good as any fireworks show I've been to. Make sure you get down their at least 9.45 so that you can get a good spot to watch the show. The use of music and lasers in the show took me back to some nightclubs I visited in the eighties!,Date of experience: July 2017,Illuminated Fountain,4,"Salou, Spain"
Family fun,"There's enough to do in the park for the whole family with plenty of rides for all levels of thrill seeker. Best to arrive early so that you can find some sun beds in the shade and a base for the day. If you get a locker remember to keep the receipt as you need this to get your euros back at the end of the day. Queues were not too bad and the most we waited wax 15 minutes. Rash vests were allowed which was a bonus for our pale Scottish skin!

Food was pretty standard theme park but you could have lunch and a drink for about 10 euros each. You're allowed to take water in with you and no doubt could smuggle a sandwich in as well if you wanted!

I thoroughly enjoyed my day and would go back again.",Date of experience: July 2017,PortAventura Caribe Aquatic Park,4,"Salou, Spain"
Short visit,"Unless you are a serious Ferrari fan or a complete adrenaline junkie and desperate to add the Ferrari rides to your portfolio then this park is a waste of money. We went as part of the three parks in three days deal and were pretty much done in a couple of hours. There was genuinely not much to do beyond the two main rides and we were glad to get access to the port Aventura world for the rest of the day.

I wouldn't go back",Date of experience: July 2017,Ferrari Land,4,"Vila Seca, Spain"
A long day out,"We spent two days here and they couldn't have been more different. We went on a Monday and dealt with massive queues and really slow service from staff then again on a Friday and had short queues and a quick turn around!

Don't hold any stock with the ride times as advertised as these are never accurate, if you want to ride all the roller coasters then I would recommend a fast pass so that at least you can make them all in one day. You can stay from 10.00am till midnight but it's a long day.

Try to see some of the shows , the Wild West was pretty good and kept the kids happy.

Shambala everyone!",Date of experience: July 2017,PortAventura,4,"Salou, Spain"
Disappointing,"This could be a really nice park and it has a lot of potential but there is clearly a lack of funds available. There is a short garden and pond to look around and if you are into History then the past life of the park makes an interesting story but largely it's a poorly maintained piece of countryside.

If you have a car then try your luck but don't waste the taxi fare like we did, it's not worth it.",Date of experience: July 2017,Parc Samà,4,"Cambrils, Spain"
Great Tapas,"We were wandering round Tarragona and sat down here for lunch. The staff were excellent and service was very prompt, they speak little English but we got by on our mixed Spanglish! The food was fresh and excellent value for money, the shrimp and calamari were particularly good with ice cold beer.

I would absolutely recommend this cafe and would go back again.",Date of visit: July 2017,Tarakon,4,"Tarragona, Spain"
"Great Pizza, great views","We made a trip here from the far end of Port de Pollenca having heard the food was good. The choice of pizza and pasta was good and while we all chose pizza the plates of pasta coming from the kitchen looked impressive. If you eat in good Italian's you know that the smell is what delivers and the whole restaurant is filled with this. We chose some pizza from the menu and added a few toppings for a small charge, and were really impressed with the amount and the taste. Service from all the staff was great and I would recommend this as a family place.

Allows in with drinks came to about 60 euros.",Date of visit: April 2017,Little Italy Puerto Pollensa,4,"Majorca, Spain"
Quality food but.....,"We stopped here for lunch tempted by the impressive choice of tapas on offer for what seemed like a great price, 25 euros for five tapas which we were assured would serve two. Having gone with ten for four of us they came out as they were cooked and I found them to be good quality and tasty. Unfortunately there just wasn't enough of it for our liking and tbh I could've eaten five by myself.

The quality of food was good but I don't want to feel hungry after I've eaten.",Date of visit: April 2017,Can Punxo,4,"Majorca, Spain"
If you love fish....,This is a great restaurant if you are fish and seafood lovers. We found the quality of the food to be great and were happy with the price and simplicity of the food. Squid and Cuttlefish were great.,Date of visit: April 2017,Bodega Can Ferra,4,"Majorca, Spain"
Great Easter break,"We travelled as a family with two kids aged 11 and 14 on a package with Jet2. In a bid to age some money we gambled on half board for an extra £150 and were pleasantly surprised by the evening buffet. Fresh fish and veal most nights with Paella and some other Mallorcan dishes throughout the week. Surprised also by the fact they would cork up wine and save it for your next night if you didn't want the whole bottle. We had a junior suite big enough for four with a nice sea view, balcony was great but a bit spoiled by there guests smoking. The room had sent recently renovated as had the whole hotel and we were very happy with it . A real bonus was the new gym and spa free for guest use, just remember to say when you want to use it. I can see in high season how this hotel might struggle as the dining room is small for the size of it but at this time of year it was excellent. The fact the beach is directly over the road means this is a great family choice

There are a few restaurants to the right of the hotel offering to quality food at a price then the town is a good 10 minute walk away. The local Spar is a 2 minute walk offering fresh bread and plenty of food from easy lunches.",Date of stay: April 2017,Hoposa Uyal Hotel,4,"Majorca, Spain"
Pre Lunch workout!,Took the 345 bus from Port de Pollenca to Pollenca town for the day so we could wander the street and try the Calvari steps. To be honest it's not a tourist attraction it's a viewpoint and it's worth the climb. The steps are well maintained and there is room to rest at the sides if you are tired. Take some time at the top to look around the views of Pollenca and see if you can spit your hotel! There is a small cafe at the top if you need a drink and it's worth looking in the church and giving a small donation if you can.,Date of experience: April 2017,The 365 Calvari Steps,4,"Majorca, Spain"
Hearty lunch!,We stopped here after the Calvari steps and enjoyed a massive baguette and a beautiful plate of ham and cheese. The Scalinata special was devoured by my teenage son and the homemade burger was very tasty. Food takes a bit of time but it's a popular place and the kitchen work hard. Good value for money lunch!,Date of visit: April 2017,La Scalinata,4,"Majorca, Spain"
Out of the sun,This is a lovely quiet garden to get some shade and relax in. There are a lot of interesting photo opportunities with old architecture and a mix of light and shade. The museum and church are close by and a few shops are littered around.,Date of experience: April 2017,Jardines Joan March y Torre Desbrull,4,"Majorca, Spain"
A Grand day out,"I'm not sure who posts this as average or complains about the lack of stuff to do but clearly they belong in the theme parks of the world rather than the real world.

The fairy pools are a 45 minute walk from bottom to top if you stop and admire the natural beauty around you. The backdrop of the Black Cuillins makes it a fantastic place for a picnic and a few outstanding photos.

There's no doubt that some of the photos can make the pools seem larger and more outstanding, dependent on the amount of water in the river at the time but it's still a fantastic wee walk.

We were lucky enough to get a parking space on a clear but warm October day. We set off and explored as we went up stopping for a wee paddle and some lunch at the last of the pools near the top. All in all a decent hike that both the boys enjoyed.",Date of experience: October 2016,Fairy Pools,4,"Isle of Skye, United Kingdom"
Into the Shire,An absolutely beautiful spot to visit and wander round. The natural formations look like Hobbit homes rising out of the ground. If you enjoy a wee ramble then this is a lovely spot to walk and have a picnic,Date of experience: October 2016,Fairy Glen,4,"Isle of Skye, United Kingdom"
Not quite a 10 minute stroll!,"This is a pretty good hike up a hill that provides a clear and well marked route. I would have liked to combine this with a proper walk up the Storr and then over the rest of the hills but we were short on time.

If you just go up and back then there are clear views across Skye, look out for the Eagles overhead as you go. If you have walking poles then they are useful on the way down.",Date of experience: October 2016,The Old Man of Storr,4,"Isle of Skye, United Kingdom"
Plenty to eat here,A really interesting and varied menu meant there was something for everyone here. Totally impressed with the huge choice of teas available. Staff were very attentive and gave us great service. Kids had some really good looking toasted and I plumped for the massive chicken club which finished me off!,Date of visit: October 2016,Cafe Arriba,4,"Isle of Skye, United Kingdom"
What a surprise,"Totally blown away to find a restaurant that really just does one thing and does it to the highest standards.

This is an oven fired pizza restaurant that serves up the best pizza you are likely to find anywhere. The great service combined without the speed our food arrived at meant this was genuinely a delight.

The kids loved seeing the oven-cam showing their pizza cooking and for £48 for a meal and drinks this was excellent value for money. Definitely worth more than one visit.",Date of visit: October 2016,l'incontro Take away,4,"Isle of Skye, United Kingdom"
Surprisingly!,"On our way to Coral beach we stopped here for lunch because we couldn't find the Old Schoolhouse restaurant. I'm glad we didn't.

The prices were quite high for a tea room but you pay for the quality of the food. This was an excellent lunch and the hand made potato bread was amazing. Great tasting soup and bread and a huge slab of lemon drizzle cake to finish.

Service was excellent throughout and I would definitely come back again.",Date of visit: October 2016,Lochside Crafts,4,"Isle of Skye, United Kingdom"
Journey into Mordor,"We booked an online trip to loch Cuirisk and this was a really easy process. The journey to Elgol itself is fairly difficult and you need to take your time on the single track roads but the scenery is worth it.

The trip on the Bella Jane was informative and fun thanks to Robert and Henry and we saw a few seals, cormorants and a Heron on the way over. The time on shore was spent exploring the shores of the loch which would be nicer on a less overcast day.

On the way back the hot chocolate was really welcome!

Would easily use this company again as the service from all (especially the skipper) was excellent.",Date of experience: October 2016,Bella Jane Boat Trips & AquaXplore,4,"Isle of Skye, United Kingdom"
Fantastic Fish,"On a rainy cold day we made the trip to the Quayside tempted by tales of seafood rarely seen outside of European cafe's and we were not disappointed.

Sporting a fine menu with choices for the whole family we opted for the east coast fare and ordered Cullen Skink followed by lobster and the dressed Gourdon Crab. At a mere £11.00 the Crab was outstanding value for money and was more than enough. Despite the lure of the burgers my youngest opted for the mixed fried fish and the plate of salmon, prawns and haddock disappeared quickly.

The knowledgeable staff were extremely helpful with our gluten free diner and managed to give us exact information on every dish. Top marks there!

This is an unpretentious restaurant attached to a busy fish and chip shop that just serves excellent seafood. The smells of the sea and the views over the harbour made the visit for this east coast boy.

Check the opening times before you go as its not open all the time but definitely take the trip.",Date of visit: September 2016,Quayside Restaurant & Fish Bar,4,"Gourdon, United Kingdom"
Full day out!,"We spent a full day on the Coba tour with our guide Raul who was full of some extensive information about Coba and the surrounding area.

The ruins themselves are quite small if you've been to Chitchen Itza but are definitely more realistic as ruins, still being encased in jungle and trees. Kids will recognise the setting from the game Temple Run!

The climb to the top is fairly steep and care needs to be taken as it can be busy at the top. The views across the canopy are spectacular.

The day was well managed by Raul and the lunch then visit to a Mayan house kept the kids going. Highlight of the day was swimming at the denote which was in a beautiful setting. Add to this tasting natural chewing gum, being blessed by a Shaman and tasting some tequila it really was quite a trip.",Date of experience: July 2016,Coba Mayan Traditions,4,"Playa del Carmen, Mexico"
Not quite all inclusive,"We booked what was described to us as an all inclusive trip to Xel Ha and on the whole it probably was but there is a vast amount of additional activities which do require payment.

The free stuff could be enough but if you've got kids the temptation to do the other activities is immense.

Snorkelling in the lagoon is awesome with lots of fish and stingrays to see, the water is calm, warm and there's room for everyone. The adventure area is good with zip wires and ropes galore but it can get really busy here. My kids enjoyed the cliffs of courage where they jumped off ledges around 4.5m into the river. We didn't have time for the lazy river

Expect to pay between 35-50 dollars each for all the other activities like zip bikes, snuba, sea treks with a lot more for dolphin or manitou experiences. Take a waterproof camera or a waterproof case for your phone as there is no way to avoid getting wet.

It's a beautiful area with excellent restaurants, bars and facilities but the extras were expensive and took a bit of shine of the day.",Date of experience: July 2016,Xel-Ha Park by Xcaret,4,"Solidaridad, Mexico"
