reviewTitle,reviewDetails,reviewDate,reviewFor,reviewRating,reviewLocation
Bad to average,"Very inexperienced staff, very little knowledge of Thai Food, meat in beef massaman very tough, decor was cold and dingy, vegetables Luke warm Very Poor won’t be going again.",Date of visit: November 2019,Thai Basement,1,"Ashbourne, United Kingdom"
OLD ENGLAND AT ITS BEST,"Wonderful stay in a traditional 17th Century Manor House, attention to detail was fantastic, nice facility of being able to sit by open fire, very Comfortable 4 poster bed, breakfasts are amazing, will definitely visit again.",Date of stay: November 2019,Manor House Farm,1,"Denstone, United Kingdom"
A world wonder 2 seas Collide 🌈❤️,"A MUST SEE ️I really was amazed if I am honest, I could not believe I was seeing waves crashing against EACH OTHER in 2 directions, BIBLICAL-very interesting and really glad I took my daughter to create a life memory xxx do this trip it is worth it.",Date of experience: October 2019,Merging of The Seas,1,"Rhodes, Greece"
SNORKELLING HEAVEN,"Beautiful crystal clear water I found puffer fish and Octupus AMAZING !!!! This beach is clear ,shallow great for young children and keeping an eye on them... Beach is the perfect size not too big and not too small, beds are priced reasonably, we were cheeky and asked for a discount, friendly guy said go on then it’s end of season, nice little bonus, the beach is narrow but that adds to the charm, very quiet and relaxed LOVE LOVE LOVE THIS BEACH ️",Date of experience: October 2019,Pefkos Beach,1,"Rhodes, Greece"
Secret Courtyard heaven,"Wow, what a great place to have found, absolutely stunning Ana was so helpful and made us so welcome, we had couple of coffees and really didn’t want to leave, when we did she gave us maps and pointed in the direction of beaches etc, Greek people have blown us away in this holiday, what nice people ❤️",Date of visit: October 2019,Angela Castle,1,"Rhodes, Greece"
Amazing Location right in St. Paul’s Bay,"Have a snorkel on a lovely quiet beach followed by sitting in a beautifully decorated beach Restaurant, Aperol Spritz was really generous, some places skimp, not here was good value, didn’t eat here but the menu was beautiful, lots of lovely fish dishes, will be coming back here with my boyfriend next time, very romantic setting, listening to the waves while you eat and drink PURE HEAVEN❤️",Date of visit: October 2019,Tambakio,1,"Rhodes, Greece"
Beautiful Italian Meal ❤️🌈,"Don’t miss out on this beautiful Restaurant, staff amazing left feeling very welcome, was recommended by a friend who knows Lindos and many locals, she knows her food and wines and said do not miss GATTO BIANCO she was right, I had the Carbonara, mother had Arrabiatta both divine DONT MISS IT",Date of visit: October 2019,New Gatto Bianco,1,"Rhodes, Greece"
Vegetarian Moussaka to die for ❤️Real Greek Food,"I really liked the food here, was recommended by our next door neighbour at Finas Apartments , she comes here at least once a year, she said don’t miss Anixis SHE WAS RIGHT, real traditional Greek food run by a lovely Family prices were also really reasonable ENJOY",Date of visit: October 2019,Anixis Restaurant & Pool Bar,1,"Rhodes, Greece"
Beautiful grown up relaxed place to go / 3 Star surprise more like 4 STAR,"What a please pleasant surprise, we booked a budget holiday being Self catering 3 star as, by to be fair the quality of the complex in my opinion was that it seemed higher than a 3 Star, the complex is little walkways to each apartment hugging around the pool area in a very cosy traditional style, I personally loved it for this, we were located 1/2 tiers above bar which in high season and being busier would be really annoying, however the doors are double glazed and blocked out a lot of the sound, The kitchen is open so you can see how clean it is and again the food is on a budget but great quality and is clean and lovely, the staff were very lovely I didn’t feel like an annoying tourist I felt at home... very well run family business from what I can see, the location is also brilliant 5 mins walk to 3 lovely local beaches, the music was also to suit every taste, this is my first time in Rhodes/ Pefkos and I have built some beautiful lifetime memories with my youngest daughter and Mum, seriously if you read this review I am a critic and like all stuff done well, BOOK IT NOW I GUARANTEE YOU WILL NOT BE DISSAPPOINTED / minor minor feedback self catering kitchen in apartment lacked utensils and eqpt but staff were happy to lend simple things we needed I will be back again and again Thank youn FINAS",Date of stay: October 2019,Finas Hotel Apartments,1,"Rhodes, Greece"
ISLAND OF POROS FIRST TIME,"The food here is so lovely really lovely family owned restaurant, very true greek cuisine and service is impeccable, do not miss this Restaurant its the best food we have had, avoid the restaurant that is on the opposite side of the rd, very expensive and terrible food OLGAS IS THE BEST",Date of visit: September 2018,Olga's,1,"Poros, Greece"
2nd Visit to Montenegro,"Well we went back on a second visit and wow Lucky seriously we have had the best holiday ever, anyone who wants to see Montenegro and see the best restaurants, best prices , most romantic... best views LUCKY IS THE MAN !!!!! Don't make the mistake of using any other guide thank you so much All our Love Chelsie and Ricky",Date of experience: April 2018,Lucky TAXI Kotor,1,"Kotor, Montenegro"
THE BEST RESTAURANT IN MONTENEGRO,"Beautiful views, romantic, great food, great service...truly heaven on earth....speechless is the exact word thank you Lucky Taxi guide for showing us this lovely place",Date of visit: April 2018,Konoba Catovica Mlini,1,"Morinj, Montenegro"
GREAT RESTAURANT GREAT SERVICE !!!! GREAT CAKE,"This restaurant is one if the best in Budva, the staff are truly amazing and make you feel at home and you always want to go back, the cakes are inexplicable and by far the best in Montenegro : ) 5 stars + loved loved loved",Date of visit: April 2018,Caffe Restaurant Mozart,1,"Budva, Montenegro"
THE LOVELY LUCKY.......We were so Lucky to have had the best Guide In Montenegro *****,"Why Because this brilliant man wasn't just a TaxiDriver... We saw parts of Montenegro in one day that otherwise would not have had th time to see, with Luckys help we got the best from our trip, worth every penny, we even got a couple of hours in Historic BUDVA and 2 hours and lunch at the beach, we so reccommend him, we have come away from the best trip we could have had which Lucky ensured we had, don't use anybody else seriously lovely lovely man....we cant wait to meet your Family the next time we are coming to MONTENGRO XXXXXXXXXXXXX WE LOVE LUCKY ..........GOD BLESS YOUR SOUL !!!!!! Ricky and Chelsie BISHOP STORTFORD ENGLAND",Date of experience: June 2017,Lucky TAXI Kotor,1,"Kotor, Montenegro"
HEAVAN ON EARTH TRULY,"This place is Breathtaking, clean cheap and untouched.......It was the last destination point on our cruise and wow so worth the wait !!!!!",Date of experience: June 2017,Bay of Kotor,1,"Kotor, Montenegro"
